link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l1,tile3,0,tile1,0,0.3, ,c3,0.1
l2,tile1,0,tile4,0,0.3, ,c1,0.1
l3,tile4,0,tile1,1,0.3, ,c4,0.1
l4,tile1,1,tile5,0,0.3, ,c1,0.1
l5,tile5,0,tile9,0,0.3, ,c5,0.1
l6,tile9,0,tile2,0,0.3, ,c9,0.1
l7,tile2,0,tile6,0,0.3, ,c2,0.1
l8,tile6,0,tile5,1,0.3, ,c6,0.1
l9,tile5,1,tile3,1,0.3, ,c5,0.1
l10,tile3,1,tile5,2,0.3, ,c3,0.1
l11,tile5,2,tile8,0,0.3, ,c5,0.1
l12,tile8,0,tile9,1,0.3, ,c8,0.1
l13,tile9,1,tile7,0,0.3, ,c9,0.1
l14,tile7,0,tile9,2,0.3, ,c7,0.1
l15,tile9,2,tile3,2,0.3, ,c9,0.1
l16,tile3,2,tile2,1,0.3, ,c3,0.1
l17,tile2,1,tile3,3,0.3, ,c2,0.1
l18,tile3,3,tile8,1,0.3, ,c3,0.1
l19,tile8,1,tile4,1,0.3, ,c8,0.1
l20,tile4,1,tile6,1,0.3, ,c4,0.1
l21,tile6,1,tile2,2,0.3, ,c6,0.1
l22,tile2,2,tile6,2,0.3, ,c2,0.1
l23,tile6,2,tile4,2,0.3, ,c6,0.1
l24,tile4,2,tile3,4,0.3, ,c4,0.1
l25,tile3,5,tile8,2,0.3, ,c3,0.1
l26,tile8,2,tile3,6,0.3, ,c8,0.1
l27,tile3,6,tile2,3,0.3, ,c3,0.1
l28,tile2,3,tile7,1,0.3, ,c2,0.1
l29,tile7,1,tile9,3,0.3, ,c7,0.1
l30,tile9,3,tile5,3,0.3, ,c9,0.1
l31,tile5,3,tile0,0,0.3, ,c5,0.1
l32,tile0,0,tile2,4,0.3, ,c0,0.1
l33,tile2,4,tile8,3,0.3, ,c2,0.1
l34,tile8,4,tile4,3,0.3, ,c8,0.1
l35,tile4,3,tile1,2,0.3, ,c4,0.1
l36,tile1,2,tile9,4,0.3, ,c1,0.1
l37,tile9,4,tile7,2,0.3, ,c9,0.1
l38,tile7,2,tile1,3,0.3, ,c7,0.1
l39,tile1,3,tile6,3,0.3, ,c1,0.1
l40,tile6,3,tile9,5,0.3, ,c6,0.1
l41,tile9,5,tile3,7,0.3, ,c9,0.1
l42,tile3,7,tile9,6,0.3, ,c3,0.1
l43,tile9,7,tile3,8,0.3, ,c9,0.1
l44,tile3,8,tile7,3,0.3, ,c3,0.1
l45,tile7,3,tile5,4,0.3, ,c7,0.1
l46,tile5,4,tile1,4,0.3, ,c5,0.1
l47,tile1,4,tile0,1,0.3, ,c1,0.1
l48,tile0,1,tile5,5,0.3, ,c0,0.1
l49,tile5,5,tile8,5,0.3, ,c5,0.1
l50,tile8,5,tile2,5,0.3, ,c8,0.1
l51,tile2,5,tile0,2,0.3, ,c2,0.1
l52,tile0,2,tile9,8,0.3, ,c0,0.1
l53,tile9,8,tile7,4,0.3, ,c9,0.1
l54,tile7,4,tile4,4,0.3, ,c7,0.1
l55,tile4,4,tile9,9,0.3, ,c4,0.1
l56,tile9,9,tile4,5,0.3, ,c9,0.1
l57,tile4,6,tile5,6,0.3, ,c4,0.1
l58,tile5,6,tile9,10,0.3, ,c5,0.1
l59,tile9,10,tile2,6,0.3, ,c9,0.1
l60,tile2,6,tile3,9,0.3, ,c2,0.1
l61,tile3,9,tile0,3,0.3, ,c3,0.1
l62,tile0,3,tile7,5,0.3, ,c0,0.1
l63,tile7,5,tile8,6,0.3, ,c7,0.1
l64,tile8,6,tile1,5,0.3, ,c8,0.1
l65,tile1,5,tile6,4,0.3, ,c1,0.1
l66,tile6,4,tile4,7,0.3, ,c6,0.1
l67,tile4,7,tile0,4,0.3, ,c4,0.1
l68,tile0,4,tile6,5,0.3, ,c0,0.1
l69,tile6,5,tile2,7,0.3, ,c6,0.1
l70,tile2,7,tile8,7,0.3, ,c2,0.1
l71,tile8,7,tile6,6,0.3, ,c8,0.1
l72,tile6,6,tile2,8,0.3, ,c6,0.1
l73,tile2,8,tile0,5,0.3, ,c2,0.1
l74,tile0,5,tile8,8,0.3, ,c0,0.1
l75,tile8,8,tile9,11,0.3, ,c8,0.1
l76,tile9,12,tile8,9,0.3, ,c9,0.1
l77,tile8,9,tile6,7,0.3, ,c8,0.1
l78,tile6,7,tile2,9,0.3, ,c6,0.1
l79,tile2,9,tile8,10,0.3, ,c2,0.1
l80,tile8,10,tile0,6,0.3, ,c8,0.1
l81,tile0,6,tile3,10,0.3, ,c0,0.1
l82,tile3,10,tile4,8,0.3, ,c3,0.1
l83,tile4,8,tile8,11,0.3, ,c4,0.1
l84,tile8,11,tile2,10,0.3, ,c8,0.1
l85,tile2,10,tile5,7,0.3, ,c2,0.1
l86,tile5,7,tile3,11,0.3, ,c5,0.1
l87,tile3,11,tile4,9,0.3, ,c3,0.1
